Id,University
3771,"University of Illinois, Chicago (UIC)"
3773,Arizona State University
3775,Boston College
3777,Boston University
3779,Brandeis University
3781,Brown University
3783,California Institute of Technology (Caltech)
3785,Carnegie Mellon University
3787,Case Western Reserve University
3789,Clark University
3791,Colorado State University
3793,Columbia University
3795,Cornell University
3797,Dartmouth College
3799,Drexel University
3801,Duke University
3803,Emory University
3805,Florida State University
3807,George Washington University
3809,Georgetown University
3811,Georgia Institute of Technology
3813,Harvard University
3815,Howard University
3817,Illinois Institute of Technology
3819,Indiana University Bloomington
3821,Iowa State University
3823,Johns Hopkins University
3825,Lehigh University
3827,Massachusets Institute of Technology
3829,Michigan State University
3831,New York University
3833,North Carolina State University
3835,Northeastern University
3837,Northwestern University
3839,Oregon State University
3841,Pennsylvania State University
3843,Princeton University
3845,Purdue University
3847,Rensselaer Polytechnic University
3849,Rice University
3851,Rutgers University - New Brunswick
3853,Stanford University
3855,"Stony Brook University, State University of New York"
3857,Texas A&M University
3859,The Katz School at Yeshiva University
3861,The New School
3863,The Ohio State University
3865,The University of Arizona
3867,The University of Georgia
3869,"The University of Tennessee, Knoxville"
3871,Tufts University
3873,Tulane University
3875,University at Buffalo SUNY
3877,"University of California, Berkeley (UCB)"
3879,"University of California, Davis"
3881,"University of California, Irvine"
3883,"University of California, Los Angeles (UCLA)"
3885,"University of California, Riverside"
3887,"University of California, San Diego (UCSD)"
3889,"University of California, Santa Barbara (UCSB)"
3891,"University of California, Santa Cruz"
3893,University of Chicago
3895,University of Colorado Boulder
3897,"University of Colorado, Denver"
3899,University of Connecticut
3901,University of Delaware
3903,University of Florida
3905,University of Hawai
3907,University of Illinois at Urbana-Champaign
3909,"University of Illinois, Chicago (UIC)"
3911,University of Iowa
3913,University of Kansas
3915,"University of Maryland, Baltimore County"
3917,"University of Maryland, College Park"
3919,University of Massachusetts Amherst
3921,University of Miami
3923,University of Michigan
3925,University of Minnesota
3927,University of New Mexico
3929,"University of North Carolina, Chapel Hill"
3931,University of Notre Dame
3933,University of Oklahoma
3935,University of Pennsylvania
3937,University of Pittsburgh
3939,University of Rochester
3941,University of South Florida
3943,University of Southern California
3945,University of Texas at Austin
3947,University of Texas Dallas
3949,University of Utah
3951,University of Vermont
3953,University of Virginia
3955,University of Washington
3957,University of Wisconsin-Madison
3959,Vanderbilt University
3961,Virginia Polytechnic Institute and State University
3963,Wake Forest University
3965,Washington State University
3967,Washington University in St. Louis
3969,Wayne State University
3971,Yale University
